	tg_avg_paris	tg_anomalies_paris	tg_avg_freiburg	tg_anomalies_freiburg	tg_avg_oslo	tg_anomalies_oslo
1981-02-14	3.8999998999999996	-1.37	-0.78	-2.11	-4.2	-0.56
1981-03-16	10.67	2.3999999	7.49	2.75	-2.36	-2.36
1981-04-15	11.0	-0.049999997000000004	9.13	0.9	4.3399997	-0.5
1981-05-16	13.95	-0.76	12.09	-0.47	11.719999000000001	1.05
1981-06-15	16.369999	-1.4699999	15.139999	-0.78	12.4	-2.36
1981-07-16	18.64	-1.28	16.25	-1.64	15.88	-0.79999995
1981-08-16	19.48	-0.08	16.82	-0.44	15.2	-0.25
1981-09-15	16.92	0.28	14.12	0.29999998	12.03	0.9
1981-10-16	11.41	-1.23	8.7	-0.65999997	4.8599997	-1.22
1981-11-15	8.179999	0.29	4.56	0.17	0.29	-0.72999996
1981-12-16	4.5	-0.74	0.37	-1.11	-9.0	-6.44
1982-01-16	4.38	-0.089999996	-0.13	-0.58	-8.16	-4.24
1982-02-14	5.95	0.68	1.29	-0.04	-3.8799998999999996	-0.24
1982-03-16	7.73	-0.53999996	4.04	-0.7	1.31	1.31
1982-04-15	10.23	-0.82	7.009999799999999	-1.22	4.7799997	-0.06
1982-05-16	14.79	0.08	13.04	0.48	9.45	-1.22
1982-06-15	19.07	1.23	16.57	0.65	13.59	-1.17
1982-07-16	20.98	1.06	19.189999	1.3	17.8	1.12
1982-08-16	18.6	-0.96	16.48	-0.78	16.08	0.63
1982-09-15	18.609999	1.9699999	16.109999	2.29	11.75	0.62
1982-10-16	11.79	-0.84999996	9.19	-0.17	5.8599997	-0.22
1982-11-15	9.05	1.16	5.98	1.5899999	2.1	1.0799999
1982-12-16	5.52	0.28	2.57	1.09	-2.18	0.38
1983-01-16	6.89	2.4199998	3.3899998999999994	2.9399998	0.26999998	4.19
1983-02-14	3.1699998	-2.1	-1.0799999	-2.4099998	-4.36	-0.71999997
1983-03-16	8.15	-0.12	4.85	0.11	1.0699999	1.0699999
1983-04-15	10.0	-1.05	8.54	0.31	4.87	0.03
1983-05-16	12.62	-2.09	10.24	-2.32	10.19	-0.48
1983-06-15	18.66	0.82	17.029999	1.11	13.87	-0.89
1983-07-16	23.15	3.23	21.83	3.9399998	17.63	0.95
1983-08-16	20.57	1.01	18.58	1.3199999	16.27	0.82
1983-09-15	16.529999	-0.11	14.12	0.29999998	11.13	0.0
1983-10-16	12.48	-0.16	9.309999000000001	-0.049999997000000004	6.759999799999999	0.68
1983-11-15	8.05	0.16	2.8899999	-1.5	0.91999996	-0.09999999400000001
1983-12-16	5.29	0.049999997000000004	1.28	-0.19999999	-1.4	1.16
1984-01-16	5.23	0.76	1.27	0.82	-5.21	-1.29
1984-02-15	4.66	-0.61	-0.35	-1.68	-3.06	0.58
1984-03-16	6.3999996	-1.87	2.27	-2.47	-1.5899999	-1.5899999
1984-04-15	10.86	-0.19	7.31	-0.91999996	5.41	0.57
1984-05-16	11.719999000000001	-2.99	9.51	-3.05	12.07	1.4
1984-06-15	17.24	-0.59999996	14.639999	-1.28	14.21	-0.55
1984-07-16	19.66	-0.26	17.63	-0.26	15.75	-0.93
1984-08-16	19.42	-0.14	17.119999	-0.14	15.82	0.37
1984-09-15	15.25	-1.39	12.429999	-1.39	9.719999000000001	-1.41
1984-10-16	12.719999000000001	0.08	9.969999000000001	0.61	7.6099997	1.53
1984-11-15	10.53	2.6399999	5.97	1.5799999	2.51	1.49
1984-12-16	5.5499997	0.31	1.7199999	0.24	0.19	2.75
1985-01-16	-0.44	-4.91	-5.21	-5.66	-8.91	-4.99
1985-02-14	3.6599998	-1.61	-0.12	-1.4499999	-9.41	-5.77
1985-03-16	6.24	-2.03	3.24	-1.5	-0.94	-0.94
1985-04-15	11.16	0.11	8.4	0.17	2.37	-2.47
1985-05-16	14.53	-0.17999999	12.24	-0.32	11.23	0.56
1985-06-15	16.14	-1.6999999	14.04	-1.88	13.759998999999999	-1.0
1985-07-16	19.9	-0.02	18.84	0.95	15.78	-0.9
1985-08-16	17.9	-1.66	17.07	-0.19	14.29	-1.16
1985-09-15	17.89	1.25	15.29	1.4699999	8.679999	-2.45
1985-10-16	12.259999	-0.38	9.25	-0.11	7.35	1.27
1985-11-15	4.77	-3.12	1.16	-3.23	-1.4599999	-2.48
1985-12-16	6.5899997	1.35	3.9099998	2.4299998	-6.96	-4.4
1986-01-16	4.71	0.24	0.95	0.5	-7.02	-3.1
1986-02-14	-1.2099999	-6.48	-6.22	-7.5499997	-7.6499996	-4.0099998
1986-03-16	6.72	-1.55	3.07	-1.67	0.03	0.03
1986-04-15	7.9199996	-3.1299999	5.67	-2.56	2.25	-2.59
1986-05-16	14.71	0.0	13.75	1.1899998999999999	10.469999000000001	-0.19999999
1986-06-15	19.14	1.3	16.22	0.29999998	16.13	1.37
1986-07-16	19.26	-0.65999997	17.57	-0.32	16.17	-0.51
1986-08-16	18.029999	-1.53	16.73	-0.53	12.65	-2.8
1986-09-15	13.91	-2.73	13.219999	-0.59999996	8.37	-2.76
1986-10-16	14.139999	1.5	10.519999499999999	1.16	6.3199997	0.24
1986-11-15	9.05	1.16	5.7799997	1.39	3.7099998	2.69
1986-12-16	6.29	1.05	2.51	1.03	-2.18	0.38
1987-01-16	-1.26	-5.73	-5.23	-5.68	-10.86	-6.94
1987-02-14	4.0	-1.27	1.1	-0.22999999	-4.68	-1.04
1987-03-16	5.3399997	-2.9299998	1.09	-3.6499998999999996	-4.3399997	-4.3399997
1987-04-15	13.17	2.12	9.65	1.42	4.79	-0.049999997000000004
1987-05-16	12.4	-2.31	9.36	-3.1999998	8.82	-1.8499999
1987-06-15	15.98	-1.86	13.98	-1.9399998999999999	11.719999000000001	-3.04
1987-07-16	19.05	-0.87	17.65	-0.24	16.1	-0.58
1987-08-16	19.07	-0.48999998	16.619999	-0.64	12.78	-2.6699998
1987-09-15	18.31	1.67	16.26	2.44	9.519999499999999	-1.61
1987-10-16	12.889999000000001	0.25	10.44	1.0799999	7.3799996	1.3
1987-11-15	7.5	-0.39	4.71	0.32	0.22	-0.79999995
1987-12-16	5.1	-0.14	2.49	1.01	-2.86	-0.29999998
1988-01-16	7.6699996	3.1999998	4.23	3.78	0.29	4.21
1988-02-15	5.79	0.52	1.4699999	0.14	-1.65	1.99
1988-03-16	7.73	-0.53999996	3.02	-1.7199999	-1.65	-1.65
1988-04-15	11.41	0.35999998	8.8	0.57	2.98	-1.86
1988-05-16	15.38	0.66999996	13.74	1.18	11.73	1.06
1988-06-15	17.22	-0.62	15.33	-0.59	18.35	3.59
1988-07-16	18.119999	-1.8	16.91	-0.97999996	15.87	-0.81
1988-08-16	19.449999	-0.11	17.609999	0.35	14.62	-0.83
1988-09-15	16.06	-0.58	13.53	-0.29	11.9	0.77
1988-10-16	13.2	0.56	10.51	1.15	4.7799997	-1.3
1988-11-15	6.93	-0.96	3.1999998	-1.1899998999999999	-1.4399998999999999	-2.46
1988-12-16	8.01	2.77	2.81	1.3299999	-3.07	-0.51
1989-01-16	5.04	0.57	1.49	1.04	2.06	5.98
1989-02-14	6.5899997	1.3199999	2.95	1.62	2.32	5.96
1989-03-16	10.719999000000001	2.45	7.81	3.07	3.22	3.22
1989-04-15	9.2	-1.8499999	6.72	-1.51	4.85	0.01
1989-05-16	17.24	2.53	14.65	2.09	10.69	0.02
1989-06-15	17.73	-0.11	15.38	-0.53999996	14.96	0.19999999
1989-07-16	20.96	1.04	18.08	0.19	16.779999	0.09999999400000001
1989-08-16	20.15	0.59	17.289998999999998	0.03	13.88	-1.5699999
1989-09-15	17.57	0.93	13.92	0.09999999400000001	11.41	0.28
1989-10-16	14.509998999999999	1.87	10.49	1.13	6.2599998	0.17999999
1989-11-15	7.37	-0.52	2.58	-1.81	2.29	1.27
1989-12-16	5.6299996	0.39	2.33	0.84999996	-3.03	-0.47
1990-01-16	6.06	1.5899999	1.93	1.48	0.48999998	4.41
1990-02-14	9.88	4.61	6.8199997	5.49	3.07	6.71
1990-03-16	9.98	1.7099999	7.0699997	2.33	4.27	4.27
1990-04-15	10.23	-0.82	6.92	-1.31	6.1299996	1.29
1990-05-16	16.949999	2.24	14.889999	2.33	12.17	1.5
1990-06-15	16.55	-1.29	14.96	-0.96	14.809999	0.049999997000000004
1990-07-16	20.369999	0.45	17.84	-0.049999997000000004	16.32	-0.35999998
1990-08-16	22.01	2.45	18.65	1.39	15.75	0.29999998
1990-09-15	15.839998999999999	-0.79999995	12.82	-1.0	9.969999000000001	-1.16
1990-10-16	14.269999499999999	1.63	11.4	2.04	6.0099998	-0.07
1990-11-15	8.059999000000001	0.17	4.12	-0.26999998	-0.11	-1.13
1990-12-16	4.6	-0.64	0.24	-1.24	-1.28	1.28
1991-01-16	4.9	0.42999998	1.3299999	0.88	-3.1899998	0.72999996
1991-02-14	2.18	-3.09	-1.0699999	-2.3999999	-4.33	-0.69
1991-03-16	10.5	2.23	7.27	2.53	1.54	1.54
1991-04-15	10.519999499999999	-0.53	7.52	-0.71	5.13	0.29
1991-05-16	12.65	-2.06	9.889999000000001	-2.6699998	10.36	-0.31
1991-06-15	15.23	-2.61	14.16	-1.76	11.36	-3.3999998999999996
1991-07-16	20.17	0.25	19.58	1.6899998999999999	18.01	1.3299999
1991-08-16	21.289998999999998	1.73	19.64	2.3799999	16.4	0.95
1991-09-15	18.39	1.75	16.09	2.27	11.179999	0.049999997000000004
1991-10-16	11.809999000000001	-0.83	8.3	-1.06	6.1	0.02
1991-11-15	7.2	-0.69	4.38	-0.01	1.9499999	0.93
1991-12-16	4.3399997	-0.9	0.06	-1.42	-0.22	2.34
1992-01-16	3.87	-0.59999996	0.03	-0.42	-0.84999996	3.07
1992-02-15	6.0299997	0.76	2.35	1.02	-0.24	3.3999998999999996
1992-03-16	9.16	0.89	5.56	0.82	2.35	2.35
1992-04-15	10.599999	-0.45	8.23	0.0	3.8899998999999994	-0.95
1992-05-16	16.71	2.0	14.73	2.1699998	13.0	2.33
1992-06-15	17.529999	-0.31	15.94	0.02	17.67	2.9099998
1992-07-16	20.52	0.59999996	18.939999	1.05	16.15	-0.53
1992-08-16	20.92	1.36	20.5	3.24	13.79	-1.66
1992-09-15	15.92	-0.71999997	14.21	0.39	10.809999000000001	-0.32
1992-10-16	9.969999000000001	-2.6699998	7.25	-2.11	2.81	-3.27
1992-11-15	9.59	1.6999999	6.77	2.3799999	0.68	-0.34
1992-12-16	5.29	0.049999997000000004	2.07	0.59	-1.1	1.4599999
1993-01-16	7.27	2.8	4.62	4.17	-0.35	3.57
1993-02-14	3.85	-1.42	-0.45999998	-1.79	-1.09	2.55
1993-03-16	8.45	0.17999999	4.45	-0.29	0.9	0.9
1993-04-15	12.74	1.6899998999999999	10.61	2.3799999	6.06	1.22
1993-05-16	15.61	0.9	14.099998999999999	1.54	12.75	2.08
1993-06-15	18.42	0.58	16.48	0.56	13.33	-1.43
1993-07-16	18.57	-1.35	16.83	-1.06	14.45	-2.23
1993-08-16	18.619999	-0.94	17.25	-0.01	12.79	-2.6599998
1993-09-15	15.21	-1.43	12.66	-1.16	8.72	-2.4099998
1993-10-16	10.63	-2.01	7.7999997	-1.56	4.0699997	-2.01
1993-11-15	4.47	-3.4199998	0.62	-3.77	-0.78	-1.8
1993-12-16	7.3399997	2.1	4.2799997	2.8	-3.75	-1.1899998999999999
1994-01-16	6.66	2.19	2.47	2.02	-4.44	-0.52
1994-02-14	5.69	0.42	2.3	0.96999997	-7.97	-4.33
1994-03-16	10.349999	2.08	8.46	3.72	0.049999997000000004	0.049999997000000004
1994-04-15	10.25	-0.79999995	7.009999799999999	-1.22	5.72	0.88
1994-05-16	14.94	0.22999999	12.87	0.31	10.71	0.04
1994-06-15	18.01	0.17	16.71	0.78999996	13.48	-1.28
1994-07-16	22.89	2.97	21.14	3.25	20.189999	3.51
1994-08-16	19.97	0.41	18.609999	1.35	15.75	0.29999998
1994-09-15	15.45	-1.1899998999999999	13.349998999999999	-0.47	9.8	-1.3299999
1994-10-16	12.429999	-0.21	9.389999000000001	0.03	5.1	-0.97999996
1994-11-15	11.8	3.9099998	7.8799996	3.49	1.52	0.5
1994-12-16	7.25	2.01	4.22	2.74	-0.26999998	2.29
1995-01-16	5.93	1.4599999	0.57	0.12	-3.23	0.69
1995-02-14	8.74	3.47	5.49	4.16	-0.77	2.87
1995-03-16	7.71	-0.56	3.5	-1.24	0.77	0.77
1995-04-15	10.61	-0.44	8.7	0.47	3.52	-1.3199999
1995-05-16	15.049999	0.34	12.73	0.17	9.5	-1.17
1995-06-15	17.039998999999998	-0.79999995	14.42	-1.5	14.79	0.03
1995-07-16	22.449999	2.53	20.46	2.57	16.23	-0.45
1995-08-16	22.01	2.45	17.71	0.45	17.46	2.01
1995-09-15	15.49	-1.15	11.65	-2.1699998	10.79	-0.34
1995-10-16	15.49	2.85	12.929999	3.57	8.559999000000001	2.48
1995-11-15	8.36	0.47	3.9299998	-0.45999998	-0.72999996	-1.75
1995-12-16	3.86	-1.38	0.07	-1.41	-6.6299996	-4.0699997
1996-01-16	4.5099998	0.04	0.08	-0.37	-5.2799997	-1.36
1996-02-15	3.37	-1.9	-0.32999998	-1.66	-6.5899997	-2.95
1996-03-16	7.18	-1.09	2.8799999	-1.86	-1.04	-1.04
1996-04-15	11.509999	0.45999998	9.48	1.25	4.5699997	-0.26999998
1996-05-16	12.58	-2.1299999	11.34	-1.22	8.09	-2.58
1996-06-15	18.85	1.01	16.779999	0.85999995	13.929998999999999	-0.83
1996-07-16	19.48	-0.44	16.93	-0.96	15.589998999999999	-1.09
1996-08-16	19.55	-0.01	16.9	-0.35999998	17.949999	2.5
1996-09-15	14.94	-1.6999999	10.91	-2.9099998	10.059999000000001	-1.0699999
1996-10-16	12.55	-0.089999996	9.67	0.31	7.33	1.25
1996-11-15	7.43	-0.45999998	4.5499997	0.16	-0.01	-1.03
1996-12-16	2.8799999	-2.36	-0.59999996	-2.08	-4.67	-2.11
1997-01-16	1.1999999	-3.27	-1.4399998999999999	-1.89	-4.22	-0.29999998
1997-02-14	7.95	2.6799998	4.96	3.6299998999999996	-0.71999997	2.9199998
1997-03-16	10.78	2.51	7.64	2.8999999	2.04	2.04
1997-04-15	10.98	-0.07	7.7	-0.53	4.73	-0.11
1997-05-16	15.089998999999999	0.38	13.46	0.9	8.98	-1.6899998999999999
1997-06-15	17.699999	-0.14	15.63	-0.29	15.94	1.18
1997-07-16	19.539998999999998	-0.38	16.75	-1.14	19.09	2.4099998
1997-08-16	23.76	4.2	19.96	2.7	20.119999	4.67
1997-09-15	17.73	1.09	15.259998999999999	1.4399998999999999	12.03	0.9
1997-10-16	12.559999000000001	-0.08	8.98	-0.38	4.56	-1.52
1997-11-15	9.26	1.37	5.18	0.78999996	1.1899998999999999	0.17
1997-12-16	6.58	1.3399999	2.84	1.36	-1.3	1.26
1998-01-16	5.73	1.26	2.97	2.52	-1.35	2.57
1998-02-14	6.95	1.68	4.77	3.4399998	1.1	4.74
1998-03-16	9.37	1.1	5.54	0.79999995	0.38	0.38
1998-04-15	10.49	-0.56	8.11	-0.12	3.86	-0.97999996
1998-05-16	16.91	2.2	14.429998999999999	1.87	11.33	0.65999997
1998-06-15	18.359999	0.52	16.91	0.98999995	12.9	-1.86
1998-07-16	18.539998999999998	-1.38	17.539998999999998	-0.35	15.08	-1.5999999
1998-08-16	20.279999	0.71999997	17.779999	0.52	14.049999	-1.4
1998-09-15	16.83	0.19	13.32	-0.5	12.099999	0.96999997
1998-10-16	12.3	-0.34	9.45	0.089999996	5.1099997	-0.96999997
1998-11-15	5.73	-2.1599998	1.5999999	-2.79	-0.98999995	-2.01
1998-12-16	5.97	0.72999996	2.1399999	0.65999997	-0.88	1.68
1999-01-16	6.87	2.3999999	3.5	3.05	-2.4299998	1.49
1999-02-14	5.6099997	0.34	-0.06	-1.39	-2.59	1.05
1999-03-16	9.55	1.28	5.71	0.96999997	0.02	0.02
1999-04-15	12.05	1.0	8.86	0.63	6.35	1.51
1999-05-16	17.02	2.31	14.66	2.1	9.23	-1.4399998999999999
1999-06-15	17.6	-0.24	15.009998999999999	-0.90999997	13.67	-1.09
1999-07-16	21.66	1.74	18.84	0.95	17.1	0.42
1999-08-16	20.619999	1.06	17.82	0.56	15.69	0.24
1999-09-15	19.01	2.37	16.77	2.95	14.009998999999999	2.8799999
1999-10-16	12.509999	-0.13	9.54	0.17999999	6.22	0.14
1999-11-15	6.94	-0.95	2.79	-1.5999999	3.9099998	2.8899999
1999-12-16	6.0299997	0.78999996	2.49	1.01	-2.97	-0.41
2000-01-16	4.9	0.42999998	0.83	0.38	-0.61	3.31
2000-02-15	7.58	2.31	4.38	3.05	-0.74	2.8999999
2000-03-16	9.07	0.79999995	5.5899997	0.84999996	1.66	1.66
2000-04-15	11.3	0.25	10.019999499999999	1.79	6.0	1.16
2000-05-16	16.539998999999998	1.8299999	14.719999	2.1599998	12.17	1.5
2000-06-15	18.609999	0.77	17.75	1.8299999	13.25	-1.51
2000-07-16	18.14	-1.78	15.65	-2.24	15.929998999999999	-0.75
2000-08-16	20.77	1.2099999	18.869999	1.61	15.009998999999999	-0.44
2000-09-15	17.449999	0.81	15.04	1.22	11.11	-0.02
2000-10-16	12.66	0.02	10.53	1.17	9.139999000000001	3.06
2000-11-15	8.929999	1.04	6.66	2.27	5.5	4.48
2000-12-16	7.759999799999999	2.52	5.41	3.9299998	0.91999996	3.48
2001-01-16	5.71	1.24	2.6	2.1499999	-3.07	0.84999996
2001-02-14	6.47	1.1999999	3.32	1.99	-5.58	-1.9399998999999999
2001-03-16	9.53	1.26	6.5499997	1.81	-1.86	-1.86
2001-04-15	10.019999499999999	-1.03	6.7	-1.53	3.9399998	-0.9
2001-05-16	16.52	1.81	15.099998999999999	2.54	11.55	0.88
2001-06-15	17.99	0.14999999	14.78	-1.14	14.299999	-0.45999998
2001-07-16	20.439999	0.52	18.44	0.55	17.4	0.71999997
2001-08-16	20.939999	1.38	19.16	1.9	15.519999499999999	0.07
2001-09-15	14.549999	-2.09	11.139999000000001	-2.6799998	11.29	0.16
2001-10-16	15.7	3.06	13.53	4.17	8.599999	2.52
2001-11-15	7.3799996	-0.51	2.58	-1.81	1.8499999	0.83
2001-12-16	4.1	-1.14	-0.32999998	-1.81	-3.4499998	-0.89
2002-01-16	6.14	1.67	1.1999999	0.75	-2.8999999	1.02
2002-02-14	8.51	3.24	5.48	4.15	0.37	4.0099998
2002-03-16	9.969999000000001	1.6999999	6.66	1.92	1.81	1.81
2002-04-15	12.009999	0.96	8.639999000000001	0.41	6.62	1.78
2002-05-16	14.42	-0.29	12.5	-0.06	12.509999	1.8399999
2002-06-15	18.939999	1.1	18.32	2.3999999	16.21	1.4499999
2002-07-16	19.43	-0.48999998	17.47	-0.42	17.05	0.37
2002-08-16	19.77	0.21	17.08	-0.17999999	19.93	4.48
2002-09-15	16.26	-0.38	12.639999000000001	-1.18	12.99	1.86
2002-10-16	12.9	0.26	9.87	0.51	3.1299999	-2.95
2002-11-15	9.73	1.8399999	6.99	2.6	-1.4699999	-2.49
2002-12-16	7.23	1.99	4.04	2.56	-6.0	-3.4399998
2003-01-16	3.54	-0.93	-0.28	-0.72999996	-3.99	-0.07
2003-02-14	4.3399997	-0.93	-1.1	-2.4299998	-2.81	0.83
2003-03-16	10.99	2.72	7.3599997	2.62	1.4499999	1.4499999
2003-04-15	12.44	1.39	9.0	0.77	5.69	0.84999996
2003-05-16	15.349998999999999	0.64	13.889999	1.3299999	9.76	-0.90999997
2003-06-15	21.63	3.79	21.5	5.58	15.889999	1.13
2003-07-16	21.48	1.56	19.66	1.77	18.52	1.8399999
2003-08-16	24.189999	4.63	22.699999	5.44	16.94	1.49
2003-09-15	17.279999	0.64	14.53	0.71	12.08	0.95
2003-10-16	10.389999000000001	-2.25	6.58	-2.78	3.75	-2.33
2003-11-15	9.19	1.3	6.42	2.03	2.6399999	1.62
2003-12-16	5.7999997	0.56	1.91	0.42999998	0.08	2.6399999
2004-01-16	5.58	1.11	0.79999995	0.35	-4.13	-0.21
2004-02-15	6.47	1.1999999	1.91	0.58	-1.61	2.03
2004-03-16	7.97	-0.29999998	4.14	-0.59999996	1.78	1.78
2004-04-15	11.889999000000001	0.84	9.469999000000001	1.24	7.08	2.24
2004-05-16	14.309999	-0.39999998	11.73	-0.83	12.03	1.36
2004-06-15	18.68	0.84	16.05	0.13	13.849998999999999	-0.90999997
2004-07-16	19.619999	-0.29999998	17.609999	-0.28	15.639999	-1.04
2004-08-16	20.77	1.2099999	18.0	0.74	17.56	2.11
2004-09-15	18.09	1.4499999	14.799999	0.97999996	12.259999	1.13
2004-10-16	13.11	0.47	11.07	1.7099999	6.21	0.13
2004-11-15	8.37	0.48	4.0699997	-0.32	0.84999996	-0.17
2004-12-16	4.19	-1.05	0.65	-0.83	0.14	2.7
2005-01-16	5.89	1.42	1.37	0.91999996	1.38	5.2999997
2005-02-14	3.97	-1.3	-1.09	-2.4199998	-1.3	2.34
2005-03-16	8.44	0.17	5.04	0.29999998	-1.02	-1.02
2005-04-15	12.07	1.02	9.23	1.0	6.5299997	1.6899998999999999
2005-05-16	15.29	0.58	13.25	0.69	9.32	-1.35
2005-06-15	20.14	2.3	18.21	2.29	14.21	-0.55
2005-07-16	20.74	0.82	18.0	0.11	18.449999	1.77
2005-08-16	19.26	-0.29999998	15.96	-1.3	15.58	0.13
2005-09-15	18.44	1.8	15.41	1.5899999	12.259999	1.13
2005-10-16	16.06	3.4199998	11.83	2.47	7.23	1.15
2005-11-15	7.0699997	-0.82	4.16	-0.22999999	4.0899997	3.07
2005-12-16	4.5499997	-0.69	-0.01	-1.49	-1.4	1.16
2006-01-16	3.58	-0.89	-1.91	-2.36	-2.58	1.3399999
2006-02-14	4.02	-1.25	-0.17999999	-1.51	-3.37	0.26999998
2006-03-16	6.73	-1.54	2.9199998	-1.8199999	-3.52	-3.52
2006-04-15	11.45	0.39999998	8.36	0.13	4.3399997	-0.5
2006-05-16	15.57	0.85999995	13.059999000000001	0.5	11.58	0.90999997
2006-06-15	19.4	1.56	17.58	1.66	15.719999	0.96
2006-07-16	24.51	4.5899997	22.72	4.83	19.65	2.97
2006-08-16	18.119999	-1.4399998999999999	14.48	-2.78	17.64	2.19
2006-09-15	19.75	3.11	17.1	3.28	14.61	3.48
2006-10-16	15.44	2.8	12.83	3.47	8.05	1.9699999
2006-11-15	9.849999	1.9599999	7.54	3.1499999	3.84	2.82
2006-12-16	6.0099998	0.77	3.35	1.87	2.21	4.77
2007-01-16	8.17	3.6999998	4.46	4.0099998	-1.16	2.76
2007-02-14	8.809999000000001	3.54	4.91	3.58	-3.54	0.09999999400000001
2007-03-16	8.72	0.45	4.96	0.22	3.9499998	3.9499998
2007-04-15	15.82	4.77	12.41	4.18	7.29	2.45
2007-05-16	16.16	1.4499999	14.07	1.51	10.519999499999999	-0.14999999
2007-06-15	18.82	0.97999996	16.39	0.47	16.66	1.9
2007-07-16	19.06	-0.85999995	16.76	-1.13	15.769999499999999	-0.90999997
2007-08-16	18.33	-1.23	16.27	-0.98999995	16.07	0.62
2007-09-15	15.82	-0.82	11.849999	-1.9699999	10.66	-0.47
2007-10-16	12.139999000000001	-0.5	8.72	-0.64	6.5899997	0.51
2007-11-15	7.77	-0.12	2.8799999	-1.51	1.14	0.12
2007-12-16	5.0099998	-0.22999999	0.65	-0.83	-1.74	0.82
2008-01-16	7.2	2.73	3.28	2.83	0.51	4.43
2008-02-15	7.3399997	2.07	3.62	2.29	1.67	5.31
2008-03-16	7.94	-0.32999998	3.9399998	-0.79999995	0.52	0.52
2008-04-15	10.679999	-0.37	7.16	-1.0699999	6.3799996	1.54
2008-05-16	17.52	2.81	14.719999	2.1599998	11.96	1.29
2008-06-15	18.369999	0.53	16.35	0.42999998	15.49	0.72999996
2008-07-16	20.189999	0.26999998	17.52	-0.37	18.09	1.41
2008-08-16	19.49	-0.07	16.869999	-0.39	14.87	-0.58
2008-09-15	15.44	-1.1999999	11.83	-1.99	10.469999000000001	-0.65999997
2008-10-16	11.83	-0.81	9.24	-0.12	6.5099998	0.42999998
2008-11-15	8.29	0.39999998	4.2799997	-0.11	1.67	0.65
2008-12-16	3.84	-1.4	0.26999998	-1.2099999	-1.63	0.93
2009-01-16	2.1499999	-2.32	-2.12	-2.57	-2.6699998	1.25
2009-02-14	4.81	-0.45999998	0.06	-1.27	-5.48	-1.8399999
2009-03-16	8.33	0.06	3.8	-0.94	0.82	0.82
2009-04-15	13.349998999999999	2.3	10.889999000000001	2.6599998	7.48	2.6399999
2009-05-16	15.57	0.85999995	14.759998999999999	2.2	11.66	0.98999995
2009-06-15	17.98	0.14	15.519999499999999	-0.39999998	15.469999	0.71
2009-07-16	20.6	0.68	17.779999	-0.11	16.85	0.17
2009-08-16	21.65	2.09	19.06	1.8	15.73	0.28
2009-09-15	17.51	0.87	14.469999	0.65	12.5	1.37
2009-10-16	13.16	0.52	8.92	-0.44	3.8	-2.28
2009-11-15	10.54	2.6499999	7.5699997	3.1799998	3.4299998	2.4099998
2009-12-16	4.58	-0.65999997	1.4699999	-0.01	-4.47	-1.91
2010-01-16	1.75	-2.72	-2.46	-2.9099998	-8.74	-4.8199997
2010-02-14	4.69	-0.58	0.91999996	-0.41	-6.93	-3.29
2010-03-16	8.37	0.09999999400000001	4.06	-0.68	-0.37	-0.37
2010-04-15	12.3	1.25	8.95	0.71999997	5.5299997	0.69
2010-05-16	13.78	-0.93	10.57	-1.99	10.5	-0.17
2010-06-15	19.18	1.3399999	16.23	0.31	14.809999	0.049999997000000004
2010-07-16	22.14	2.22	19.48	1.5899999	17.529999	0.84999996
2010-08-16	19.369999	-0.19	16.24	-1.02	15.48	0.03
2010-09-15	16.3	-0.34	12.21	-1.61	10.519999499999999	-0.61
2010-10-16	12.42	-0.22	7.99	-1.37	4.67	-1.41
2010-11-15	7.5899997	-0.29999998	4.98	0.59	-3.35	-4.37
2010-12-16	1.26	-3.98	-1.38	-2.86	-11.25	-8.69
2011-01-16	5.29	0.82	1.2099999	0.76	-4.33	-0.41
2011-02-14	7.0299997	1.76	2.7	1.37	-6.0299997	-2.3899999
2011-03-16	9.929999	1.66	6.22	1.48	-0.42999998	-0.42999998
2011-04-15	15.44	4.39	11.42	3.1899998	9.059999000000001	4.22
2011-05-16	16.98	2.27	14.37	1.81	10.889999000000001	0.22
2011-06-15	18.65	0.81	16.19	0.26999998	15.61	0.84999996
2011-07-16	18.33	-1.5899999	15.389999	-2.5	17.699999	1.02
2011-08-16	19.8	0.24	18.17	0.90999997	15.639999	0.19
2011-09-15	18.72	2.08	15.9	2.08	12.309999000000001	1.18
2011-10-16	14.08	1.4399998999999999	9.28	-0.08	7.22	1.14
2011-11-15	10.28	2.3899999	5.2599998	0.87	4.15	3.1299999
2011-12-16	7.83	2.59	3.8799998999999996	2.3999999	-0.049999997000000004	2.51
2012-01-16	7.0299997	2.56	2.21	1.76	-3.04	0.88
2012-02-15	2.79	-2.48	-3.4399998	-4.77	-2.44	1.1999999
2012-03-16	11.2	2.9299998	7.3199997	2.58	5.17	5.17
2012-04-15	10.19	-0.85999995	8.12	-0.11	4.44	-0.39999998
2012-05-16	16.07	1.36	13.769999499999999	1.2099999	11.96	1.29
2012-06-15	17.529999	-0.31	16.46	0.53999996	13.309999	-1.4499999
2012-07-16	19.38	-0.53999996	17.18	-0.71	16.119999	-0.56
2012-08-16	21.439999	1.88	18.84	1.5799999	15.769999499999999	0.32
2012-09-15	16.49	-0.14999999	13.559999	-0.26	10.79	-0.34
2012-10-16	13.019999499999999	0.38	9.21	-0.14999999	4.85	-1.23
2012-11-15	8.04	0.14999999	5.7	1.31	2.75	1.73
2012-12-16	6.79	1.55	2.5	1.02	-5.67	-3.11
